,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,Batch size,Algorithm,Utlity function,σ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,5.08,3.36951035018443,10.200000000000003,13.0,"0    0.756962
dtype: float64","0    0.854134
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 2.  5.  8.  7.  2.  5.  9.  5.  1.  3.  1.  5.  5.  3.  3.  3. 13.  4.
  6.  2.  8. 12. 11.  1.  3.]"
1,8.8,5.607138307550475,14.600000000000001,22.0,"0    0.71008
dtype: float64","0    0.823779
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 5.  6. 13. 13.  3.  3.  1. 12.  2.  7. 12.  9. 15. 22.  5.  5.  2. 21.
  8.  4. 13. 14. 12.  5.  8.]"
2,4.84,5.2966404446592374,11.600000000000001,25.0,"0    0.781617
dtype: float64","0    0.786123
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,8,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 2.  1. 14. 12.  5.  3.  2.  3.  3.  2.  6.  3. 11.  3.  4. 25.  1.  2.
  1.  2.  4.  4.  2.  2.  4.]"
3,7.44,6.567069361595017,13.0,29.0,"0    0.784407
dtype: float64","0    0.836909
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,8,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],[],"[ 5.  1. 13.  1.  6.  8. 22. 12. 13.  3. 29. 11. 11.  8.  5.  4.  5.  2.
  4.  3.  4.  1.  8.  1.  6.]"
4,1.48,0.8059776671843953,2.6000000000000014,4.0,"0    1.0
dtype: float64",1.0,1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 1. 1. 2. 1. 1. 1. 1. 1. 2. 1. 1. 1. 3. 1. 1. 2. 3. 1. 2. 4. 1.
 2.]"
5,1.8,1.019803902718557,3.0,5.0,"0    0.968016
dtype: float64",1.0,1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,4,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[4. 2. 1. 2. 1. 3. 1. 2. 2. 1. 5. 2. 1. 2. 2. 1. 1. 1. 3. 1. 1. 1. 1. 2.
 2.]"
6,1.2,0.48989794855663565,2.0,3.0,1.0,1.0,1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,8,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 2. 1. 1. 1. 1. 1. 2. 1. 1. 2. 1. 1. 1. 1. 1. 1. 1. 3. 1. 1. 1.
 1.]"
7,1.52,1.1356055653262713,2.6000000000000014,5.0,"0    0.972808
dtype: float64",1.0,1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,8,90,38,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['28-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 5. 1. 3. 1. 1. 1. 2. 1. 1. 1. 1. 1. 1. 2. 1. 1. 1. 1. 2. 5. 1.
 1.]"
