Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,NaOH specific gravity,Na2SiO3 specific gravity,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),7-d Cubic compressive strength (MPa)
1746,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,876,876,114.55,65.45,0,1.5,0.13,0.32,0.55,14.89,36.66,63.0025,12,34.034,31.416,30,12,134.2365,3,60,24,220.54424,34.36
1747,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,858,858,152.94,47.06,0,1.5,0.13,0.32,0.55,19.88,48.94,84.117,12,24.4712,22.5888,30,12,145.7882,3,90,24,275.037752,45.28
1748,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,894,894,114.29,45.71,0,1.5,0.13,0.32,0.55,14.86,36.57,62.8595,14,20.1124,25.5976,30,12,120.1719,1,60,24,164.564537333333,62.95
1749,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,876,876,114.55,65.45,0,1.5,0.13,0.32,0.55,14.89,36.66,63.0025,14,28.798,36.652,30,12,129.0005,1,90,24,204.904513333333,43.41
1750,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,858,858,152.94,47.06,0,1.5,0.13,0.32,0.55,19.88,48.94,84.117,14,20.7064,26.3536,30,12,142.0234,1,30,24,160.330677333333,64.89
1751,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,894,894,122.35,37.65,0,1.5,0.13,0.32,0.55,15.91,39.15,67.2925,14,16.566,21.084,30,12,121.0585,2,30,24,142.780926666667,61.08
1752,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,876,876,128.57,51.43,0,1.5,0.13,0.32,0.55,16.71,41.14,70.7135,14,22.6292,28.8008,30,12,130.5427,2,60,24,198.124998666667,68.19
1753,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,858,858,127.27,72.73,0,1.5,0.13,0.32,0.55,16.55,40.73,69.9985,14,32.0012,40.7288,30,12,139.1997,2,90,24,258.826318666667,42.28
1754,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,894,894,101.82,58.18,0,1.5,0.13,0.32,0.55,13.24,32.58,56.001,14,25.5992,32.5808,30,12,118.8002,3,90,24,276.114832,52.52
1755,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,876,876,137.65,42.35,0,1.5,0.13,0.32,0.55,17.89,44.05,75.7075,14,18.634,23.716,30,12,131.5415,3,30,24,156.36474,61.86
1756,36.74,10.78,0.42,43.34,3.21,0.18,0.17,0.53,0,0,0.6,0,0,400,0,858,858,142.86,57.14,0,1.5,0.13,0.32,0.55,18.57,45.72,78.573,14,25.1416,31.9984,30,12,140.9146,3,60,24,231.678336,37.83
