,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,Batch size,Algorithm,Utlity function,σ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,18.0,6.764613810115105,26.200000000000003,30.0,"0    0.836616
dtype: float64","0    0.858966
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,4,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[28.  8. 19.  9. 17. 22. 23. 27. 20. 30. 16. 20. 11. 25. 24. 21. 15. 18.
 17. 12.  4. 16. 21.  5. 22.]"
1,17.48,10.666283326445065,34.0,37.0,"0    0.823484
dtype: float64","0    0.843875
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,4,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[ 3. 16. 12. 14. 15.  2. 37. 15. 16. 12. 26.  2.  2. 23.  6.  8. 24. 24.
 34. 22. 12. 34. 25. 37. 16.]"
2,15.44,16.109823090276315,21.6,87.0,"0    0.847555
dtype: float64","0    0.879957
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,8,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[17. 21. 19.  1. 17. 15. 20. 22.  7. 10. 23. 21. 14. 87.  8.  3.  9. 12.
  1.  5.  1. 12. 19. 10. 12.]"
3,18.32,13.120121950652747,33.6,48.0,"0    0.828204
dtype: float64","0    0.860818
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,8,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],[],"[12. 31. 23.  2.  7.  1.  6. 21. 33. 11. 41.  5. 23. 48. 21. 13.  6. 34.
 19. 33. 27. 13.  1.  2. 25.]"
4,8.96,5.180579118206767,15.800000000000004,24.0,"0    0.886357
dtype: float64","0    0.945261
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,4,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 2. 14. 12.  5.  8.  7.  4.  5.  5.  5. 11. 13.  7. 17.  7.  2.  8.  7.
 11. 13.  7.  6. 24. 18.  6.]"
5,16.76,9.131396388285857,28.6,34.0,"0    0.872829
dtype: float64","0    0.902
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,4,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[28.  5.  8. 29. 17. 22. 20. 22. 18. 11. 16. 11. 17. 24. 25.  8.  2. 33.
  3.  2. 16. 19. 20.  9. 34.]"
6,7.2,5.90592922409336,11.0,33.0,"0    0.908464
dtype: float64","0    0.957117
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,8,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 3.  5.  6. 11.  7.  3. 33.  8.  4.  5.  4.  4. 11.  1.  7. 10.  3. 12.
  6.  7.  7.  5.  5.  6.  7.]"
7,14.56,8.895302130900333,27.0,29.0,"0    0.894139
dtype: float64","0    0.911307
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,8,188,43,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Other SCM (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'NaOH specific gravity', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['7-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 2. 23.  4.  1. 11. 17. 11. 27.  1.  7.  8. 27. 27.  1. 11. 29. 17. 20.
 19. 15. 20. 25. 20.  8. 13.]"
