,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,Batch size,Algorithm,Utlity function,σ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,14.0,10.019980039900279,29.200000000000003,40.0,"0    0.703762
dtype: float64","0    0.76109
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,4,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],[],"[ 4.  6. 22.  6. 23.  2. 15. 31. 16. 28. 12. 30. 14.  3. 19. 40.  4. 11.
 11.  4. 19. 10.  7.  7.  6.]"
1,26.24,14.505943609431274,42.6,54.0,"0    0.676351
dtype: float64","0    0.749605
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,4,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],[],"[ 6. 32.  6. 11. 39. 44. 24. 42. 11. 11. 42. 23. 54. 23. 41.  5. 33.  4.
 20. 17. 33. 20. 43. 31. 41.]"
2,11.32,9.06297964247962,24.400000000000006,28.0,"0    0.741798
dtype: float64","0    0.803114
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,8,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],[],"[ 9.  2.  5.  2.  7.  3.  3. 10. 28.  3.  5. 10.  4.  2. 22. 28. 20. 26.
  7. 21.  2. 14. 22. 22.  6.]"
3,26.36,13.795303548671916,44.800000000000004,49.0,"0    0.695285
dtype: float64","0    0.735259
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,8,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],[],"[15. 41. 23.  2. 10.  4. 34. 47. 49. 14. 35. 43. 26. 40. 32. 12. 26. 30.
 29. 25. 38. 46. 10. 14. 14.]"
4,1.0,0.0,1.0,1.0,1.0,1.0,1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,4,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1.]"
5,1.52,1.2687001221722964,2.6000000000000014,7.0,"0    0.798432
dtype: float64",1.0,1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,4,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 1. 1. 1. 1. 1. 3. 3. 2. 2. 7. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 2.
 1.]"
6,1.0,0.0,1.0,1.0,1.0,1.0,1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,8,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1.]"
7,2.28,1.7325126262166173,4.600000000000001,7.0,"0    0.78097
dtype: float64",1.0,1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,8,90,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'LOI', 'Cement (kg/m3)', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Kaolin (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[2. 1. 5. 1. 4. 1. 4. 1. 6. 1. 1. 3. 2. 1. 4. 1. 7. 1. 1. 1. 3. 1. 1. 2.
 2.]"
