Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),1-d Cubic compressive strength (MPa)
1262,34.6145403899721,14.62643454039,3.00434540389972,31.2413370473538,5.25231197771588,1.00186629526462,1.88064066852368,1.50128133704735,0.784317548746518,0.0511420612813371,0,0,0.371615598885794,2.75197771587744,108,251,0,1111,721,84,69,0,84,0.128,0.255,0.62,10.75,21.42,51.828,69,7.5,48.3,20.7,0,0,100.128,0,20,24,92.1581,21.5984
1263,34.6,14.617,2.997,31.276,5.257,1.002,1.878,1.502,0.784,0.051,0,0,0.372,2.751,105,245,0,1111,721,82,68,0,82,0.128,0.255,0.62,10.5,20.91,50.594,68,7.5,47.6,20.4,0,0,98.194,0,20,24,90.5396,28.8996
1264,34.5901694915254,14.6106214689266,2.99203389830508,31.2994350282486,5.26016949152542,1.00209039548023,1.87621468926554,1.50248587570621,0.783785310734463,0.0509039548022599,0,0,0.37225988700565,2.75033898305085,106,248,0,1145,742,83,68,0,83,0.128,0.255,0.62,10.62,21.17,51.211,68,7.5,47.6,20.4,0,0,98.811,0,20,24,91.3236,32.0282
1265,34.5948367952522,14.613649851632,2.99439169139466,31.2883086053412,5.2586646884273,1.00204747774481,1.87706231454006,1.50225519287834,0.783887240356083,0.0509495548961424,0,0,0.37213649851632,2.7506528189911,101,236,0,1145,742,79,65,0,79,0.128,0.255,0.62,10.11,20.15,48.743,65,7.5,45.5,19.5,0,0,94.243,0,20,24,87.5161,18.8529
1266,34.6158662613982,14.6272948328267,3.00501519756839,31.2381762917933,5.25188449848024,1.00185410334347,1.88088145896657,1.50121580547112,0.784346504559271,0.0511550151975684,0,0,0.371580547112462,2.75206686930091,99,230,0,1145,742,77,63,0,77,0.128,0.255,0.62,9.86,19.64,47.509,63,7.5,44.1,18.9,0,0,91.609,0,20,24,85.3271,27.2652
1267,34.6050728862974,14.6202915451895,2.99956268221574,31.2639067055394,5.25536443148688,1.00195335276968,1.87892128279883,1.50174927113703,0.784110787172012,0.0510495626822157,0,0,0.371865889212828,2.75134110787172,103,240,0,1160,753,81,66,0,81,0.128,0.255,0.62,10.37,20.66,49.977,66,7.5,46.2,19.8,0,0,96.177,0,20,24,89.1514,34.1152
1268,34.6106748466258,14.6239263803681,3.00239263803681,31.2505521472393,5.25355828220859,1.0019018404908,1.87993865030675,1.50147239263804,0.784233128834356,0.0511042944785276,0,0,0.371717791411043,2.75171779141104,98,228,0,1160,753,77,63,0,77,0.128,0.255,0.62,9.86,19.64,47.509,63,7.5,44.1,18.9,0,0,91.609,0,20,24,85.3439,21.685
1269,34.5781132075472,14.6027987421384,2.98594339622642,31.3281761006289,5.26405660377358,1.00220125786164,1.8740251572327,1.50308176100629,0.783522012578616,0.0507861635220126,0,0,0.372578616352201,2.74952830188679,95,223,0,1160,753,75,61,0,75,0.128,0.255,0.62,9.6,19.13,46.275,61,7.5,42.7,18.3,0,0,88.975,0,20,24,83.2029,14.5506
1386,51.593,25.134,1.526,7.045,9.34,0.709,2.368,0.686,0.853,0,0,0,0,0,360,40,0,1197,644,107,53,0,107,0.1536,0.3071,0.54,16.44,32.86,57.7051,53,10,31.8,21.2,0,4,91.9051,0,25,20,98.9948,4.85401
1387,50.7695,24.491,1.464,8.7425,9.235,0.6835,2.267,0.749,0.8495,0,0,0,0,0,340,60,0,1200,646,107,53,0,107,0.1536,0.3071,0.54,16.44,32.86,57.7051,53,10,31.8,21.2,0,4,91.9051,0,25,20,99.9788,9.45255
1388,49.946,23.848,1.402,10.44,9.13,0.658,2.166,0.812,0.846,0,0,0,0,0,320,80,0,1203,646,107,53,0,107,0.1536,0.3071,0.54,16.44,32.86,57.7051,53,10,31.8,21.2,0,4,91.9051,0,25,20,100.9532,12.5182
1389,49.1225,23.205,1.34,12.1375,9.025,0.6325,2.065,0.875,0.8425,0,0,0,0,0,300,100,0,1207,650,107,53,0,107,0.1536,0.3071,0.54,16.44,32.86,57.7051,53,10,31.8,21.2,0,4,91.9051,0,25,20,101.9516,16.3504
1390,48.299,22.562,1.278,13.835,8.92,0.607,1.964,0.938,0.839,0,0,0,0,0,280,120,0,1210,652,107,53,0,107,0.1536,0.3071,0.54,16.44,32.86,57.7051,53,10,31.8,21.2,0,4,91.9051,0,25,20,102.9356,17.1168
1391,50.7695,24.491,1.464,8.7425,9.235,0.6835,2.267,0.749,0.8495,0,0,0,0,0,340,60,0,1200,646,107,53,0,107,0.1536,0.3071,0.54,16.44,32.86,57.7051,53,12,27.56,25.44,0,4,87.6651,0,25,20,108.0984,7.90123
1392,49.946,23.848,1.402,10.44,9.13,0.658,2.166,0.812,0.846,0,0,0,0,0,320,80,0,1203,648,107,53,0,107,0.1536,0.3071,0.54,16.44,32.86,57.7051,53,12,27.56,25.44,0,4,87.6651,0,25,20,109.0824,13.5802
1393,49.1225,23.205,1.34,12.1375,9.025,0.6325,2.065,0.875,0.8425,0,0,0,0,0,300,100,0,1222,658,107,53,0,107,0.1536,0.3071,0.54,16.44,32.86,57.7051,53,12,27.56,25.44,0,4,87.6651,0,25,20,110.1816,21.4815
1394,50.7695,24.491,1.464,8.7425,9.235,0.6835,2.267,0.749,0.8495,0,0,0,0,0,340,60,0,1209,651,93,47,0,93,0.1536,0.3071,0.54,14.28,28.56,50.1549,47,10,28.2,18.8,0,4,80.7549,0,25,20,90.41,5.87575
1395,49.946,23.848,1.402,10.44,9.13,0.658,2.166,0.812,0.846,0,0,0,0,0,320,80,0,1227,661,93,47,0,93,0.1536,0.3071,0.54,14.28,28.56,50.1549,47,10,28.2,18.8,0,4,80.7549,0,25,20,91.5044,9.9934
1396,49.1225,23.205,1.34,12.1375,9.025,0.6325,2.065,0.875,0.8425,0,0,0,0,0,300,100,0,1246,671,93,47,0,93,0.1536,0.3071,0.54,14.28,28.56,50.1549,47,10,28.2,18.8,0,4,80.7549,0,25,20,92.6036,17.2483
1397,50.7695,24.491,1.464,8.7425,9.235,0.6835,2.267,0.749,0.8495,0,0,0,0,0,340,60,0,1184,637,96,64,0,96,0.1536,0.3071,0.54,14.75,29.48,51.7728,64,10,38.4,25.6,0,4,92.5728,0,25,20,104.3248,6.08846
1398,49.1225,23.205,1.34,12.1375,9.025,0.6325,2.065,0.875,0.8425,0,0,0,0,0,300,100,0,1223,659,114,46,0,114,0.1536,0.3071,0.54,17.51,35.01,61.4802,46,10,27.6,18.4,0,4,91.4802,0,25,20,99.2296,19.2987
