Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),Kaolin (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Mixture CO2 (Na2SiO3 as solution),28-d Cylindrical compressive strength (MPa)
587,48.246,26.855,12.211,5.921,1.195,0.312,0.447,0.8,1.441,0.884,0,0,0.585,0,360,40,0,1209,651,114.3,45.7,0,114.3,0.114,0.307,0.58,13.03,35.09,66.1797,45.7,14,20.108,25.592,0,0,86.2877,0,25,102.60468,34.8837
588,46.492,25.46,10.922,10.052,1.5,0.304,0.434,1.22,1.342,0.788,0,0,0.53,0,320,80,0,1209,651,114.3,45.7,0,114.3,0.114,0.307,0.58,13.03,35.09,66.1797,45.7,14,20.108,25.592,0,0,86.2877,0,25,104.52468,45.5814
589,44.738,24.065,9.633,14.183,1.805,0.296,0.421,1.64,1.243,0.692,0,0,0.475,0,280,120,0,1209,651,114.3,45.7,0,114.3,0.114,0.307,0.58,13.03,35.09,66.1797,45.7,14,20.108,25.592,0,0,86.2877,0,25,106.44468,55.814
590,48.246,26.855,12.211,5.921,1.195,0.312,0.447,0.8,1.441,0.884,0,0,0.585,0,360,40,0,1209,651,100,40,0,100,0.114,0.307,0.58,11.4,30.7,57.9,40,14,17.6,22.4,0,0,75.5,0,25,91.344,45.7143
591,48.246,26.855,12.211,5.921,1.195,0.312,0.447,0.8,1.441,0.884,0,0,0.585,0,360,40,0,1209,651,128.5,51.5,0,128.5,0.114,0.307,0.58,14.65,39.45,74.4015,51.5,14,22.66,28.84,0,0,97.0615,0,25,113.9366,30.3297
592,48.246,26.855,12.211,5.921,1.195,0.312,0.447,0.8,1.441,0.884,0,0,0.585,0,360,40,0,1209,651,96,64,0,96,0.114,0.307,0.58,10.94,29.47,55.584,64,14,28.16,35.84,0,0,83.744,0,25,115.6416,35.5856
593,48.246,26.855,12.211,5.921,1.195,0.312,0.447,0.8,1.441,0.884,0,0,0.585,0,360,40,0,1209,651,106.7,53.3,0,106.7,0.114,0.307,0.58,12.16,32.76,61.7793,53.3,14,23.452,29.848,0,0,85.2313,0,25,108.01892,34.2342
643,49,31,2.8,5.4,2.5,3.76,1.17,0.3,2.1,0.9,0.1,0.1,0.3,0,424.8,0,0,1183.2,585.6,95.04,63.36,0,95.04,0.147,0.294,0.56,13.97,27.94,53.12736,63.36,14,27.8784,35.4816,9.6,48,209.40576,1,70,231.466104,52.0882
646,49,31,2.8,5.4,2.5,3.76,1.17,0.3,2.1,0.9,0.1,0.1,0.3,0,424.8,0,0,1183.2,585.6,95.04,63.36,0,95.04,0.147,0.294,0.56,13.97,27.94,50.3712,63.36,14,27.8784,35.4816,9.6,48,206.6496,0,25,202.591104,49.2868
647,49,31,2.8,5.4,2.5,3.76,1.17,0.3,2.1,0.9,0.1,0.1,0.3,0,424.8,0,0,1183.2,585.6,95.04,63.36,0,95.04,0.147,0.294,0.56,13.97,27.94,50.3712,63.36,14,27.8784,35.4816,45.6,0,177.8496,0,25,112.351104,46
717,53.72,27.2,11.17,1.9,0,0.36,0.54,0.3,0.71,1.62,0,0,0.68,0,400,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.301,0.59,13.03,34.4,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,100.68468,26.25
718,51.7628,25.85,10.6618,5.602,0.156,0.3684,0.5076,0.432,0.6674,1.5228,0,0,0.7592,24,376,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.301,0.59,13.03,34.4,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,120.74868,34.2857
719,51.1104,25.4,10.4924,6.836,0.208,0.3712,0.4968,0.476,0.6532,1.4904,0,0,0.7856,30,368,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.301,0.59,13.03,34.4,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,125.75668,36.6964
720,50.458,24.95,10.323,8.07,0.26,0.374,0.486,0.52,0.639,1.458,0,0,0.812,40,360,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.301,0.59,13.03,34.4,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,134.12468,39.6226
721,49.8056,24.5,10.1536,9.304,0.312,0.3768,0.4752,0.564,0.6248,1.4256,0,0,0.8384,48,352,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.301,0.59,13.03,34.4,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,140.81268,36.4286
722,50.458,24.95,10.323,8.07,0.26,0.374,0.486,0.52,0.639,1.458,0,0,0.812,40,360,0,0,1209,651,106.7,53.3,0,106.7,0.114,0.301,0.59,12.16,32.12,62.4195,53.3,14,23.452,29.848,0,0,85.8715,0,25,139.53892,39.6226
723,50.458,24.95,10.323,8.07,0.26,0.374,0.486,0.52,0.639,1.458,0,0,0.812,40,360,0,0,1209,651,96,64,0,96,0.114,0.301,0.59,10.94,28.9,56.16,64,14,28.16,35.84,0,0,84.32,0,25,147.1616,40.7547
783,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,10,62.4,41.6,0,0,116.2824,0,25,126.8192,39.67
784,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,15,41.6,62.4,0,0,95.4824,0,25,166.6512,45.34
785,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,20,20.8,83.2,0,0,74.6824,0,25,206.4832,37.64
786,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,10,41.4,27.6,0,0,112.8978,0,25,112.2492,33.8
787,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,15,27.6,41.4,0,0,99.0978,0,25,138.6762,39.02
788,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,20,13.8,55.2,0,0,85.2978,0,25,165.1032,46.69
789,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,10,62.4,41.6,0,0,116.2824,1,60,149.277533333333,46.67
790,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,15,41.6,62.4,0,0,95.4824,1,60,189.109533333333,54.4
791,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,20,20.8,83.2,0,0,74.6824,1,60,228.941533333333,43.42
792,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,10,41.4,27.6,0,0,112.8978,1,60,134.707533333333,40.09
793,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,15,27.6,41.4,0,0,99.0978,1,60,161.134533333333,48.18
794,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,1091,588,138,69,0,138,0.1532,0.3287,0.52,21.14,45.36,71.4978,69,20,13.8,55.2,0,0,85.2978,1,60,187.561533333333,49.5
800,70.3,23.1,1.4,0.18,0.56,0.35,0.91,0.26,2.6,0.22,0,0,2,0,467,0,0,1039,693,234,147,0,234,0.147,0.294,0.56,34.4,68.8,130.806,147,15,58.8,88.2,10,0,199.606,1,80,298.616266666667,22.37
801,36.87,14.23,0.32,36,5.05,0.01,0.05,6.08,0.63,0.36,0,0.39,0,0,0,415,0,1039,784,71,46,0,71,0.147,0.294,0.56,10.44,20.87,39.689,46,10,27.6,18.4,136,0,203.289,1,80,126.418066666667,39.47
920,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,0,25,138.31736,41.7
921,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,0.333333333,60,145.803471103625,27.4
922,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,0.5,60,149.546526666667,37.8
923,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,0.75,60,155.16111,45.6
924,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,1,60,160.775693333333,50
925,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,0.333333333,75,149.01180443375,44.8
926,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,0.5,75,154.359026666667,53.9
927,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,0.75,75,162.37986,60
928,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,1,75,170.400693333333,62.3
929,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,0.333333333,90,152.220137763875,52.2
930,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,0.5,90,159.171526666667,58.6
931,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,0.75,90,169.59861,59.8
932,58.772,23.615,4.99,6.427,1.191,0.441,1.284,0.487,1.157,0.191,0,0.124,1.323,0,271.6,38.8,77.6,1221.2,620.8,138.7,55.3,1.53,138.7,0.147,0.294,0.56,20.39,40.78,77.5333,55.3,12,28.756,26.544,13.3,0,119.5893,1,90,180.025693333333,60.7
1043,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,400,0,1208,650,84,56,1.53,84,0.147,0.294,0.56,12.35,24.7,46.956,56,10,33.6,22.4,48,20,140.556,0,25,140.4544,46.75
1044,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,400,0,1182,636,120,60,1.53,120,0.147,0.294,0.56,17.64,35.28,67.08,60,12,31.2,28.8,48,20,158.28,0,25,165.4784,38.98
1045,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,400,0,1156,622,157,63,1.53,157,0.147,0.294,0.56,23.08,46.16,87.763,63,14,27.72,35.28,48,20,175.483,0,25,191.0156,42.55
1046,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,450,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,168.91,61.15
1047,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,450,0,1132,609,145,58,1.53,145,0.147,0.294,0.56,21.32,42.63,81.055,58,10,34.8,23.2,54,22.5,183.355,0,25,170.6848,54.24
1048,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,450,0,1102,594,149,99,1.53,149,0.147,0.294,0.56,21.9,43.81,83.291,99,12,51.48,47.52,54,22.5,202.271,0,25,218.4816,37.32
1049,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,500,0,1115,600,125,50,1.53,125,0.147,0.294,0.56,18.38,36.75,69.875,50,12,26,24,60,25,170.875,0,25,172.192,59.5
1050,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,500,0,1082,583,135,90,1.53,135,0.147,0.294,0.56,19.85,39.69,75.465,90,14,39.6,50.4,60,25,190.065,0,25,226.108,42.93
1051,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,500,0,1050,565,183,92,1.53,183,0.147,0.294,0.56,26.9,53.8,102.297,92,10,55.2,36.8,60,25,232.497,0,25,217.104,34.4
1217,53.71,27.2,11.7,1.9,0,0.36,0.54,0.3,1.62,0.71,0,0,0.68,0,400,0,0,1218,655.9,100,40,0,100,0.115,0.3,0.59,11.5,30,58.5,40,14,17.6,22.4,0,6,79.7,0,25,100.77072,32.5
1218,51.335,25.705,10.582,6.255,0,0.355,0.524,0.632,1.504,0.685,0,0,0.851,0,360,40,0,1218,655.9,100,40,0,100,0.115,0.3,0.59,11.5,30,58.5,40,14,17.6,22.4,6,6,85.7,0,25,102.69072,33.3
1219,51.7134693877551,25.8224489795918,11.1489795918367,5.67755102040816,0.159183673469388,0.368571428571429,0.506938775510204,0.43469387755102,1.52081632653061,0.666530612244898,0,0,0.760816326530612,24,368,0,0,1209,651,114.3,45.7,0,114.3,0.115,0.3,0.59,13.14,34.29,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,120.71668,43.2
1220,51.1523529411765,25.4352941176471,10.9941176470588,6.73921568627451,0.203921568627451,0.370980392156863,0.497647058823529,0.472549019607843,1.49294117647059,0.654313725490196,0,0,0.783529411764706,32,376,0,0,1209,651,114.3,45.7,0,114.3,0.115,0.3,0.59,13.14,34.29,66.8655,45.7,14,20.108,25.592,0,3.92,89.3255,0,25,134.83828,34.4
1221,51.7534,25.85,11.16,5.602,0.156,0.3684,0.5076,0.432,1.5228,0.6674,0,0,0.7592,24,376,0,0,1218,655.9,100,40,0,100,0.115,0.3,0.59,11.5,30,58.5,40,14,17.6,22.4,6,6,85.7,0,25,120.83472,35.3
1222,53.71,27.2,11.7,1.9,0,0.36,0.54,0.3,1.62,0.71,0,0,0.68,0,400,0,0,1209,651,114.3,45.7,0,114.3,0.115,0.3,0.59,13.14,34.29,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,100.68468,25.6
1223,51.335,25.705,10.582,6.255,0,0.355,0.524,0.632,1.504,0.685,0,0,0.851,0,360,40,0,1209,651,114.3,45.7,0,114.3,0.115,0.3,0.59,13.14,34.29,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,102.60468,38.3
1224,50.1475,24.9575,10.023,8.4325,0,0.3525,0.516,0.798,1.446,0.6725,0,0,0.9365,0,340,60,0,1209,651,114.3,45.7,0,114.3,0.115,0.3,0.59,13.14,34.29,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,103.56468,46.6
1225,53.71,27.2,11.7,1.9,0,0.36,0.54,0.3,1.62,0.71,0,0,0.68,0,400,0,0,1218.1,655.9,100,40,0,100,0.115,0.3,0.59,11.5,30,58.5,40,14,17.6,22.4,6,6,85.7,0,25,100.7712,32.5
1226,51.335,25.705,10.582,6.255,0,0.355,0.524,0.632,1.504,0.685,0,0,0.851,0,360,40,0,1218.1,655.9,100,40,0,100,0.115,0.3,0.59,11.5,30,58.5,40,14,17.6,22.4,0,6,79.7,0,25,102.6912,33.3
1309,74.18,9.44,4.22,5.53,2.48,0.32,1.46,0,0.96,0,0,0,0.82,0,459,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,0,20,105.2488000209,14.2373
1310,74.18,9.44,4.22,5.53,2.48,0.32,1.46,0,0.96,0,0,0,0.82,0,459,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,1,80,140.540466687567,25.5932
1311,71.3197471526196,9.08143963553531,4.12836218678815,8.52001480637813,2.50360820045558,0.304,1.40886788154898,0.227790432801822,0.950268792710706,0,0,0,0.995400911161731,22.95,436.05,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,0,20,124.4350000209,29.1525
1312,71.3197471526196,9.08143963553531,4.12836218678815,8.52001480637813,2.50360820045558,0.304,1.40886788154898,0.227790432801822,0.950268792710706,0,0,0,0.995400911161731,22.95,436.05,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,1,80,159.726666687567,52.7119
1313,68.4594943052392,8.72287927107062,4.03672437357631,11.5100296127563,2.52721640091116,0.288,1.35773576309795,0.455580865603645,0.940537585421412,0,0,0,1.17080182232346,45.9,413.1,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,0,20,143.6212000209,25.7627
1314,68.4594943052392,8.72287927107062,4.03672437357631,11.5100296127563,2.52721640091116,0.288,1.35773576309795,0.455580865603645,0.940537585421412,0,0,0,1.17080182232346,45.9,413.1,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,1,80,178.912866687567,50.678
