,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,Batch size,Algorithm,Utlity function,σ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,4.6,2.039607805437114,7.0,10.0,"0    0.946573
dtype: float64","0    0.968242
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,4,105,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['1-d Cubic compressive strength (MPa)'],[],"[ 2.  5.  6.  5.  4.  8.  3.  3.  7.  4.  2.  5.  3.  1.  4.  3.  3.  6.
  4.  6.  7.  6. 10.  5.  3.]"
1,6.88,3.963029144480267,12.200000000000003,18.0,"0    0.903055
dtype: float64","0    0.947013
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,4,105,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['1-d Cubic compressive strength (MPa)'],[],"[13.  9.  6.  2. 18.  3.  5.  5.  5.  2.  1. 10.  4.  7.  5.  8.  7.  5.
 11. 14.  8.  9.  3.  5.  7.]"
2,5.56,11.682739404780028,7.600000000000001,61.0,"0    0.956125
dtype: float64","0    0.964158
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,8,105,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['1-d Cubic compressive strength (MPa)'],[],"[ 1.  1.  2.  1.  2.  3.  3. 61.  2.  5.  2.  1.  5.  1.  3.  7.  8.  5.
  2.  1.  3. 14.  4.  1.  1.]"
3,6.12,2.832948993540124,10.0,14.0,"0    0.901773
dtype: float64","0    0.965044
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,8,105,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['1-d Cubic compressive strength (MPa)'],[],"[ 3.  4.  6.  5. 10.  7.  7.  4.  8.  4.  7.  5.  4.  3.  2.  8. 10.  5.
  5.  4.  3.  7.  7. 14. 11.]"
4,4.72,2.358304475677388,7.0,9.0,"0    0.943336
dtype: float64","0    0.978642
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,4,105,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['1-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[6. 1. 5. 1. 4. 9. 3. 1. 7. 7. 9. 6. 4. 1. 4. 5. 5. 7. 7. 6. 4. 4. 6. 5.
 1.]"
5,12.68,6.685626373048377,20.6,25.0,"0    0.886619
dtype: float64","0    0.92332
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,4,105,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['1-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 5.  6. 11. 19. 17. 12. 25.  6. 20.  3. 13. 10. 14. 18.  9. 25. 21. 14.
  8. 17. 14.  2. 19.  6.  3.]"
6,7.72,11.735484651261743,9.600000000000001,64.0,"0    0.952021
dtype: float64","0    0.986936
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,8,105,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['1-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 9.  4.  3.  4.  5.  4.  3.  5.  1.  2.  5. 12. 10.  7.  5.  5.  6.  5.
  4.  8.  5. 64.  4.  7.  6.]"
7,8.4,5.418486873657627,13.600000000000001,26.0,"0    0.935197
dtype: float64","0    0.960929
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,8,105,39,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'SrO', 'Mn2O3', 'MnO', 'LOI', 'FA (kg/m3)', 'GGBFS (kg/m3)', 'SF (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Na2SiO3 specific gravity', 'Total solution', 'Na2O (l)', 'Sio2 (l)', 'H2O', 'Na2O (Dry)', 'Sio2 (Dry)', 'Water', 'Total NaOH', 'Concentration (M) NaOH', 'Water.1', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Final curing temp (C)']",['1-d Cubic compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 1. 20.  3. 10.  7.  9.  4.  7. 14.  9.  6.  2.  6.  9. 10.  6.  4.  6.
 10.  6. 13. 10.  9.  3. 26.]"
