Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,NaOH specific gravity,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),28-d Cubic compressive strength (MPa)
498,45.172,24.898,2.432,17.516,5.43,0.184,0.718,0,1.2,0.2468,0,0,0,0.822,0,279,186,0,0,0,1176,504,182,73,1.13,1.4,182,0.0893,0.298,0.61,16.25,54.24,111.5114,73,6,55.48,17.52,0,0,166.9914,0,25,24,117.9228,50.8922
499,45.172,24.898,2.432,17.516,5.43,0.184,0.718,0,1.2,0.2468,0,0,0,0.822,0,279,186,0,0,0,1176,504,170,85,1.13,1.4,170,0.0893,0.298,0.61,15.18,50.66,104.159,85,6,64.6,20.4,0,0,168.759,0,25,24,119.118,46.8307
500,45.172,24.898,2.432,17.516,5.43,0.184,0.718,0,1.2,0.2468,0,0,0,0.822,0,279,186,0,0,0,1176,504,153,102,1.13,1.4,153,0.0893,0.298,0.61,13.66,45.59,93.7431,102,6,77.52,24.48,0,0,171.2631,0,25,24,120.8112,32.6459
501,54.1,31.83,3.22,4.86,1.23,0.24,0.77,0,1.66,0.41,0,0,0,0.65,0,465,0,0,0,0,1176,504,182,73,1.13,1.4,182,0.0893,0.298,0.61,16.25,54.24,111.5114,73,6,55.48,17.52,0,0,166.9914,0,25,24,108.9948,31.2766
502,49.636,28.364,2.826,11.188,3.33,0.212,0.744,0,1.43,0.3284,0,0,0,0.736,0,372,93,0,0,0,1176,504,182,73,1.13,1.4,182,0.0893,0.298,0.61,16.25,54.24,111.5114,73,6,55.48,17.52,0,0,166.9914,0,25,24,113.4588,32.9787
503,45.172,24.898,2.432,17.516,5.43,0.184,0.718,0,1.2,0.2468,0,0,0,0.822,0,372,248,0,0,0,1008,432,243,97,1.13,1.4,243,0.0893,0.298,0.61,21.7,72.41,148.8861,97,6,73.72,23.28,0,0,222.6061,0,25,24,153.3572,31.0011
504,45.1637638376384,24.8916051660517,2.43127306273063,17.5276752767528,5.43387453874539,0.183948339483395,0.717952029520295,0,1.19957564575646,0.246649446494465,0,0,0,0.822158671586716,0,325,217,0,0,0,1092,468,213,85,1.13,1.4,213,0.0893,0.298,0.61,19.02,63.47,130.5051,85,6,64.6,20.4,0,0,195.1051,0,25,24,135.818,32.7006
505,45.172,24.898,2.432,17.516,5.43,0.184,0.718,0,1.2,0.2468,0,0,0,0.822,0,279,186,0,0,0,1008,672,182,73,1.13,1.4,182,0.0893,0.298,0.61,16.25,54.24,111.5114,73,6,55.48,17.52,0,0,166.9914,0,25,24,117.9228,42.6055
506,45.172,24.898,2.432,17.516,5.43,0.184,0.718,0,1.2,0.2468,0,0,0,0.822,0,279,186,0,0,0,924,756,182,73,1.13,1.4,182,0.0893,0.298,0.61,16.25,54.24,111.5114,73,6,55.48,17.52,0,0,166.9914,0,25,24,117.9228,37.136
507,45.172,24.898,2.432,17.516,5.43,0.184,0.718,0,1.2,0.2468,0,0,0,0.822,0,279,186,0,0,0,840,840,182,73,1.13,1.4,182,0.0893,0.298,0.61,16.25,54.24,111.5114,73,6,55.48,17.52,0,0,166.9914,0,25,24,117.9228,35.6808
