Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,NaOH specific gravity,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),7-d Cubic compressive strength (MPa)
192,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,1,70,24,195.6294,46.94
193,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,70,24,224.5044,52.26
194,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,3,70,24,253.3794,52.69
195,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,4,70,24,282.2544,52.72
196,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,60,24,211.671066666667,45.98
197,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,70,24,224.5044,52.26
198,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,80,24,237.337733333333,49.8
199,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,90,24,250.171066666667,49.67
366,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,0,1.36,0,450,0,0,0,0,1211.9,579.35,128.63,51.45,0,0,128.63,0.147,0.294,0.56,18.91,37.82,71.90417,51.45,8,34.986,16.464,0,0,106.89017,1,60,24,110.691693333333,49.5
367,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,0,1.36,0,450,0,0,0,0,1211.9,579.35,128.63,51.45,0,0,128.63,0.147,0.294,0.56,18.91,37.82,71.90417,51.45,10,30.87,20.58,0,0,102.77417,1,60,24,118.573833333333,48.33
368,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,0,1.36,0,450,0,0,0,0,1211.9,579.35,128.63,51.45,0,0,128.63,0.147,0.294,0.56,18.91,37.82,71.90417,51.45,12,26.754,24.696,0,0,98.65817,1,60,24,126.455973333333,46.72
369,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,0,1.36,0,450,0,0,0,0,1211.9,579.35,144.68,57.88,0,0,144.68,0.147,0.294,0.56,21.27,42.54,80.87612,57.88,8,39.3584,18.5216,0,0,120.23452,1,60,24,120.409997333333,50.02
370,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,0,1.36,0,450,0,0,0,0,1211.9,579.35,144.68,57.88,0,0,144.68,0.147,0.294,0.56,21.27,42.54,80.87612,57.88,10,34.728,23.152,0,0,115.60412,1,60,24,129.277213333333,49.13
371,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,0,1.36,0,450,0,0,0,0,1211.9,579.35,144.68,57.88,0,0,144.68,0.147,0.294,0.56,21.27,42.54,80.87612,57.88,12,30.0976,27.7824,0,0,110.97372,1,60,24,138.144429333333,47.24
372,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,0,1.36,0,450,0,0,0,0,1211.9,579.35,160.78,64.31,0,0,160.78,0.147,0.294,0.56,23.63,47.27,89.87602,64.31,8,43.7308,20.5792,0,0,133.60682,1,60,24,130.146301333333,52.08
373,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,0,1.36,0,450,0,0,0,0,1211.9,579.35,160.78,64.31,0,0,160.78,0.147,0.294,0.56,23.63,47.27,89.87602,64.31,10,38.586,25.724,0,0,128.46202,1,60,24,139.998593333333,50.73
