Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,LOI,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),28-d Cubic compressive strength (MPa)
1510,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,315,135,971.9619525,760.5380475,160.7142857,64.28571429,0.115,0.3,0.59,18.48,48.21,94.01785714,8,43.71428571,20.57142857,0,18,148.5321429,0,25,1,30,147.68742856355,38.96
1511,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,216,144,1090.844597,773.9554032,128.5714286,51.42857143,0.115,0.3,0.59,14.79,38.57,75.21428571,8,34.97142857,16.45714286,0,14.4,118.8257143,0,25,1,30,122.1761828729,47.92
1512,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,222,148,1081.558448,775.8415522,132.1428571,52.85714286,0.115,0.3,0.59,15.2,39.64,77.30357143,8,35.94285714,16.91428571,0,14.8,122.1264286,0,25,1,30,125.28580569065,48.47
1513,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,228,152,1070.455144,776.3448564,135.7142857,54.28571429,0.115,0.3,0.59,15.61,40.71,79.39285714,8,36.91428571,17.37142857,0,15.2,125.4271429,0,25,1,30,128.38006856355,47.91
1514,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,234,156,1057.564014,775.435986,139.2857143,55.71428571,0.115,0.3,0.59,16.02,41.79,81.48214286,8,37.88571429,17.82857143,0,15.6,128.7278571,0,25,1,30,131.45897143645,48.75
1515,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,240,160,1043.045024,772.954976,142.8571429,57.14285714,0.115,0.3,0.59,16.43,42.86,83.57142857,8,38.85714286,18.28571429,0,16,132.0285714,0,25,1,30,134.52251430935,49.59
1516,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,246,164,1026.649881,769.150119,146.4285714,58.57142857,0.115,0.3,0.59,16.84,43.93,85.66071429,8,39.82857143,18.74285714,0,16.4,135.3292857,0,25,1,30,137.5706971271,50.43
1517,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,252,168,1010.929815,765.670185,150,60,0.115,0.3,0.59,17.25,45,87.75,8,40.8,19.2,0,16.8,138.63,0,25,1,30,140.62368,51.22
1518,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,258,172,967.961046,795.038954,153.5714286,61.42857143,0.115,0.3,0.59,17.66,46.07,89.83928571,8,41.77142857,19.65714286,0,17.2,141.9307143,0,25,1,30,143.7035428729,51.04
1519,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,264,176,969.4600256,777.3399744,157.1428571,62.85714286,0.115,0.3,0.59,18.07,47.14,91.92857143,8,42.74285714,20.11428571,0,17.6,145.2314286,0,25,1,30,146.77092569065,50.89
1520,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,270,180,971.9619525,760.5380475,160.7142857,64.28571429,0.115,0.3,0.59,18.48,48.21,94.01785714,8,43.71428571,20.57142857,0,18,148.5321429,0,25,1,30,149.84742856355,50.69
1521,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,180,180,1090.844597,773.9554032,128.5714286,51.42857143,0.115,0.3,0.59,14.79,38.57,75.21428571,8,34.97142857,16.45714286,0,14.4,118.8257143,0,25,1,30,123.9041828729,59.79
1522,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,185,185,1081.558448,775.8415522,132.1428571,52.85714286,0.115,0.3,0.59,15.2,39.64,77.30357143,8,35.94285714,16.91428571,0,14.8,122.1264286,0,25,1,30,127.06180569065,59.88
1523,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,190,190,1070.455144,776.3448564,135.7142857,54.28571429,0.115,0.3,0.59,15.61,40.71,79.39285714,8,36.91428571,17.37142857,0,15.2,125.4271429,0,25,1,30,130.20406856355,59.98
1524,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,195,195,1057.564014,775.435986,139.2857143,55.71428571,0.115,0.3,0.59,16.02,41.79,81.48214286,8,37.88571429,17.82857143,0,15.6,128.7278571,0,25,1,30,133.33097143645,60.08
1525,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,200,200,1043.045024,772.954976,142.8571429,57.14285714,0.115,0.3,0.59,16.43,42.86,83.57142857,8,38.85714286,18.28571429,0,16,132.0285714,0,25,1,30,136.44251430935,60.18
1526,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,205,205,1026.649881,769.150119,146.4285714,58.57142857,0.115,0.3,0.59,16.84,43.93,85.66071429,8,39.82857143,18.74285714,0,16.4,135.3292857,0,25,1,30,139.5386971271,60.28
1527,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,210,210,1010.929815,765.670185,150,60,0.115,0.3,0.59,17.25,45,87.75,8,40.8,19.2,0,16.8,138.63,0,25,1,30,142.63968,60.38
1528,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,215,215,967.961046,795.038954,153.5714286,61.42857143,0.115,0.3,0.59,17.66,46.07,89.83928571,8,41.77142857,19.65714286,0,17.2,141.9307143,0,25,1,30,145.7675428729,59.75
1529,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,220,220,969.4600256,777.3399744,157.1428571,62.85714286,0.115,0.3,0.59,18.07,47.14,91.92857143,8,42.74285714,20.11428571,0,17.6,145.2314286,0,25,1,30,148.88292569065,59.23
1530,47.085,23.265,2.525,18.3,4.57,0.11,0,0.625,0,3.485,225,225,971.9619525,760.5380475,160.7142857,64.28571429,0.115,0.3,0.59,18.48,48.21,94.01785714,8,43.71428571,20.57142857,0,18,148.5321429,0,25,1,30,152.00742856355,58.53
1531,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,252,108,1090.844597,773.9554032,141.4285714,56.57142857,0.115,0.3,0.59,16.26,42.43,82.73571429,8,38.46857143,18.10285714,0,14.4,129.8442857,0,25,1,30,128.2282971271,31.11
1532,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,259,111,1081.558448,775.8415522,145.3571429,58.14285714,0.115,0.3,0.59,16.72,43.61,85.03392857,8,39.53714286,18.60571429,0,14.8,133.4510714,0,25,1,30,131.50603430935,30.27
1533,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,266,114,1070.455144,776.3448564,149.2857143,59.71428571,0.115,0.3,0.59,17.17,44.79,87.33214286,8,40.60571429,19.10857143,0,15.2,137.0578571,0,25,1,30,134.76841143645,29.43
1534,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,273,117,1057.564014,775.435986,153.2142857,61.28571429,0.115,0.3,0.59,17.62,45.96,89.63035714,8,41.67428571,19.61142857,0,15.6,140.6646429,0,25,1,30,138.01542856355,28.6
1535,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,280,120,1043.045024,772.954976,157.1428571,62.85714286,0.115,0.3,0.59,18.07,47.14,91.92857143,8,42.74285714,20.11428571,0,16,144.2714286,0,25,1,30,141.24708569065,27.77
1536,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,287,123,1026.649881,769.150119,161.0714286,64.42857143,0.115,0.3,0.59,18.52,48.32,94.22678571,8,43.81142857,20.61714286,0,16.4,147.8782143,0,25,1,30,144.4633828729,26.95
1537,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,294,126,1010.929815,765.670185,165,66,0.115,0.3,0.59,18.98,49.5,96.525,8,44.88,21.12,0,16.8,151.485,0,25,1,30,147.68448,26.17
1538,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,301,129,967.961046,795.038954,168.9285714,67.57142857,0.115,0.3,0.59,19.43,50.68,98.82321429,8,45.94857143,21.62285714,0,17.2,155.0917857,0,25,1,30,150.9324571271,26.01
1539,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,308,132,969.4600256,777.3399744,172.8571429,69.14285714,0.115,0.3,0.59,19.88,51.86,101.1214286,8,47.01714286,22.12571429,0,17.6,158.6985714,0,25,1,30,154.16795430935,25.88
1540,52.295,24.571,3.215,12.58,3.242,0.154,0,0.515,0,3.391,315,135,971.9619525,760.5380475,176.7857143,70.71428571,0.115,0.3,0.59,20.33,53.04,103.4196429,8,48.08571429,22.62857143,0,18,162.3053571,0,25,1,30,157.41257143645,25.71
1541,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,216,144,1090.844597,773.9554032,141.4285714,56.57142857,0.115,0.3,0.59,16.26,42.43,82.73571429,8,38.46857143,18.10285714,0,14.4,129.8442857,0,25,1,30,129.9562971271,46.87
1542,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,222,148,1081.558448,775.8415522,145.3571429,58.14285714,0.115,0.3,0.59,16.72,43.61,85.03392857,8,39.53714286,18.60571429,0,14.8,133.4510714,0,25,1,30,133.28203430935,46.49
1543,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,228,152,1070.455144,776.3448564,149.2857143,59.71428571,0.115,0.3,0.59,17.17,44.79,87.33214286,8,40.60571429,19.10857143,0,15.2,137.0578571,0,25,1,30,136.59241143645,46.12
1544,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,234,156,1057.564014,775.435986,153.2142857,61.28571429,0.115,0.3,0.59,17.62,45.96,89.63035714,8,41.67428571,19.61142857,0,15.6,140.6646429,0,25,1,30,139.88742856355,45.75
1545,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,240,160,1043.045024,772.954976,157.1428571,62.85714286,0.115,0.3,0.59,18.07,47.14,91.92857143,8,42.74285714,20.11428571,0,16,144.2714286,0,25,1,30,143.16708569065,45.38
1546,49.69,23.918,2.87,15.44,3.906,0.132,0,0.57,0,3.438,246,164,1026.649881,769.150119,161.0714286,64.42857143,0.115,0.3,0.59,18.52,48.32,94.22678571,8,43.81142857,20.61714286,0,16.4,147.8782143,0,25,1,30,146.4313828729,45.02
