Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,LOI,FA (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Total solution,Na2O (Dry),Sio2 (Dry),Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Mixture CO2 (Na2SiO3 as solution),7-d Cylindrical compressive strength (MPa)
32,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,2,119.195933333333,56
33,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,3,119.195933333333,59
34,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,4,119.195933333333,59
35,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,5,119.195933333333,59
36,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,0,106.633533333333,63
37,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,1,106.633533333333,74
38,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,2,106.633533333333,73
39,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,3,106.633533333333,76
40,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,4,106.633533333333,75
41,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,5,106.633533333333,77
42,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,0,8.2,80.537,1,30,0,110.175133333333,44
43,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,0,8.2,80.537,1,45,0,119.800133333333,55
44,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,0,8.2,80.537,1,60,0,129.425133333333,59
45,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,0,8.2,80.537,1,75,0,139.050133333333,65
46,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,0,8.2,80.537,1,90,0,148.675133333333,71
47,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,10.7,8.2,91.237,1,30,0,110.175133333333,35
48,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,10.7,8.2,91.237,1,45,0,119.800133333333,42
49,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,10.7,8.2,91.237,1,75,0,139.050133333333,60
50,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,10.7,8.2,91.237,1,90,0,148.675133333333,59
51,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,21.3,8.2,101.837,1,30,0,110.175133333333,32
52,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,21.3,8.2,101.837,1,45,0,119.800133333333,37
53,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,21.3,8.2,101.837,1,60,0,129.425133333333,44
54,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,21.3,8.2,101.837,1,75,0,139.050133333333,44
55,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,21.3,8.2,101.837,1,90,0,148.675133333333,44
56,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,0,106.633533333333,55
57,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,0,106.633533333333,47
58,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,10,24.6,16.4,7.5,6.1,93.337,1,60,0,112.914733333333,53
59,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,10,24.6,16.4,7.5,6.1,93.337,1,60,0,112.914733333333,45
60,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.4,6.1,96.957,1,60,0,119.195933333333,51
61,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.4,6.1,96.957,1,60,0,119.195933333333,42
62,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,14,18.04,22.96,20.7,6.1,99.977,1,60,0,125.477133333333,45
63,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,14,18.04,22.96,20.7,6.1,99.977,1,60,0,125.477133333333,40
64,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,16,14.76,26.24,26.5,6.1,102.497,1,60,0,131.758333333333,47
65,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,16,14.76,26.24,26.5,6.1,102.497,1,60,0,131.758333333333,40
66,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,14,18.04,22.96,20.7,6.1,99.977,1,60,0,125.477133333333,52
67,48,29,12.7,1.78,0.89,0.39,0.55,0.5,1.67,1.69,1.61,408,1294,647,103,41,103,15.14,30.28,14,18.04,22.96,16.5,6.1,95.777,1,60,0,125.923533333333,56
68,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1294,554,103,41,103,15.14,30.28,14,18.04,22.96,0,6.1,79.277,1,90,0,144.727133333333,89
69,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1294,554,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,90,0,125.883533333333,68
70,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1294,554,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,90,0,125.883533333333,55
71,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1294,554,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,90,0,125.883533333333,44
78,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1309,561,88,35,88,12.94,25.87,14,15.4,19.6,16.5,8.2,86.012,1,90,0,136.946333333333,30
82,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1309,561,88,35,88,12.94,25.87,14,15.4,19.6,20.7,8.2,90.212,1,90,0,136.946333333333,26
86,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1309,561,88,35,88,12.94,25.87,14,15.4,19.6,24.8,8.2,94.312,1,90,0,136.946333333333,18
90,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1309,561,103,51,103,15.14,30.28,14,22.44,28.56,20.7,6.1,104.377,1,60,0,136.306733333333,37
99,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,1,60,0,105.847133333333,58
100,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,0.166666667,60,0,87.1318555630417,25
101,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,0.333333333,60,0,90.874911103625,31
102,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,0.5,60,0,94.6179666666667,41
103,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,2,60,0,128.305466666667,72
104,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,3,60,0,150.7638,77
