Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Mixture CO2 (Na2SiO3 as solution),7-d Cylindrical compressive strength (MPa)
372,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,160.78,64.31,0,160.78,0.147,0.294,0.56,23.63,47.27,89.87602,64.31,8,43.7308,20.5792,0,0,133.60682,1,60,130.146301333333,38.72
373,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,160.78,64.31,0,160.78,0.147,0.294,0.56,23.63,47.27,89.87602,64.31,10,38.586,25.724,0,0,128.46202,1,60,139.998593333333,37
374,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,160.78,64.31,0,160.78,0.147,0.294,0.56,23.63,47.27,89.87602,64.31,12,33.4412,30.8688,0,0,123.31722,1,60,149.850885333333,36.45
375,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,176.85,70.74,0,176.85,0.147,0.294,0.56,26,51.99,98.85915,70.74,8,48.1032,22.6368,0,0,146.96235,1,60,139.871805333333,36.27
376,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,176.85,70.74,0,176.85,0.147,0.294,0.56,26,51.99,98.85915,70.74,10,42.444,28.296,0,0,141.30315,1,60,150.709173333333,35.54
377,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,176.85,70.74,0,176.85,0.147,0.294,0.56,26,51.99,98.85915,70.74,12,36.7848,33.9552,0,0,135.64395,1,60,161.546541333333,36.13
586,50,28.25,13.5,1.79,0.89,0.32,0.46,0.38,1.54,0.98,0,0,0.64,0,400,0,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.307,0.58,13.03,35.09,66.1797,45.7,14,20.108,25.592,0,0,86.2877,0,25,100.68468,15.814
587,48.246,26.855,12.211,5.921,1.195,0.312,0.447,0.8,1.441,0.884,0,0,0.585,0,360,40,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.307,0.58,13.03,35.09,66.1797,45.7,14,20.108,25.592,0,0,86.2877,0,25,102.60468,22.3256
588,46.492,25.46,10.922,10.052,1.5,0.304,0.434,1.22,1.342,0.788,0,0,0.53,0,320,80,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.307,0.58,13.03,35.09,66.1797,45.7,14,20.108,25.592,0,0,86.2877,0,25,104.52468,28.3721
589,44.738,24.065,9.633,14.183,1.805,0.296,0.421,1.64,1.243,0.692,0,0,0.475,0,280,120,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.307,0.58,13.03,35.09,66.1797,45.7,14,20.108,25.592,0,0,86.2877,0,25,106.44468,41.8605
590,48.246,26.855,12.211,5.921,1.195,0.312,0.447,0.8,1.441,0.884,0,0,0.585,0,360,40,0,0,1209,651,100,40,0,100,0.114,0.307,0.58,11.4,30.7,57.9,40,14,17.6,22.4,0,0,75.5,0,25,91.344,32.5275
591,48.246,26.855,12.211,5.921,1.195,0.312,0.447,0.8,1.441,0.884,0,0,0.585,0,360,40,0,0,1209,651,128.5,51.5,0,128.5,0.114,0.307,0.58,14.65,39.45,74.4015,51.5,14,22.66,28.84,0,0,97.0615,0,25,113.9366,20.2198
592,48.246,26.855,12.211,5.921,1.195,0.312,0.447,0.8,1.441,0.884,0,0,0.585,0,360,40,0,0,1209,651,96,64,0,96,0.114,0.307,0.58,10.94,29.47,55.584,64,14,28.16,35.84,0,0,83.744,0,25,115.6416,18.9189
593,48.246,26.855,12.211,5.921,1.195,0.312,0.447,0.8,1.441,0.884,0,0,0.585,0,360,40,0,0,1209,651,106.7,53.3,0,106.7,0.114,0.307,0.58,12.16,32.76,61.7793,53.3,14,23.452,29.848,0,0,85.2313,0,25,108.01892,21.6216
643,49,31,2.8,5.4,2.5,3.76,1.17,0.3,2.1,0.9,0.1,0.1,0.3,0,424.8,0,0,0,1183.2,585.6,95.04,63.36,0,95.04,0.147,0.294,0.56,13.97,27.94,53.12736,63.36,14,27.8784,35.4816,9.6,48,209.40576,1,70,231.466104,48.7868
646,49,31,2.8,5.4,2.5,3.76,1.17,0.3,2.1,0.9,0.1,0.1,0.3,0,424.8,0,0,0,1183.2,585.6,95.04,63.36,0,95.04,0.147,0.294,0.56,13.97,27.94,50.3712,63.36,14,27.8784,35.4816,9.6,48,206.6496,0,25,202.591104,7.18684
647,49,31,2.8,5.4,2.5,3.76,1.17,0.3,2.1,0.9,0.1,0.1,0.3,0,424.8,0,0,0,1183.2,585.6,95.04,63.36,0,95.04,0.147,0.294,0.56,13.97,27.94,50.3712,63.36,14,27.8784,35.4816,45.6,0,177.8496,0,25,112.351104,14.2
717,53.72,27.2,11.17,1.9,0,0.36,0.54,0.3,0.71,1.62,0,0,0.68,0,400,0,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.301,0.59,13.03,34.4,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,100.68468,15.5357
718,51.7628,25.85,10.6618,5.602,0.156,0.3684,0.5076,0.432,0.6674,1.5228,0,0,0.7592,24,376,0,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.301,0.59,13.03,34.4,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,120.74868,21.1607
719,51.1104,25.4,10.4924,6.836,0.208,0.3712,0.4968,0.476,0.6532,1.4904,0,0,0.7856,30,368,0,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.301,0.59,13.03,34.4,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,125.75668,22.5
720,50.458,24.95,10.323,8.07,0.26,0.374,0.486,0.52,0.639,1.458,0,0,0.812,40,360,0,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.301,0.59,13.03,34.4,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,134.12468,24.5283
721,49.8056,24.5,10.1536,9.304,0.312,0.3768,0.4752,0.564,0.6248,1.4256,0,0,0.8384,48,352,0,0,0,1209,651,114.3,45.7,0,114.3,0.114,0.301,0.59,13.03,34.4,66.8655,45.7,14,20.108,25.592,0,0,86.9735,0,25,140.81268,23.8393
722,50.458,24.95,10.323,8.07,0.26,0.374,0.486,0.52,0.639,1.458,0,0,0.812,40,360,0,0,0,1209,651,106.7,53.3,0,106.7,0.114,0.301,0.59,12.16,32.12,62.4195,53.3,14,23.452,29.848,0,0,85.8715,0,25,139.53892,22.6415
723,50.458,24.95,10.323,8.07,0.26,0.374,0.486,0.52,0.639,1.458,0,0,0.812,40,360,0,0,0,1209,651,96,64,0,96,0.114,0.301,0.59,10.94,28.9,56.16,64,14,28.16,35.84,0,0,84.32,0,25,147.1616,22.2642
783,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,10,62.4,41.6,0,0,116.2824,0,25,126.8192,19.89
784,45.23,19.95,13.15,15.51,3.2,0,0,0,0,0,0,0,0,0,414,0,0,0,1091,588,104,104,0,104,0.1532,0.3287,0.52,15.93,34.18,53.8824,104,15,41.6,62.4,0,0,95.4824,0,25,166.6512,22.3
