,Req. dev. cycle (mean),Req. dev. cycle (std),Req. dev. cycle (90%),Req. dev. cycle (max),5 cycle perf.,10 cycle perf.,Batch size,Algorithm,Utlity function,σ factor,qant. (distance utility),# SL runs,Initial sample,# of samples in the DS,# Features,# Targets,Target threshold,Features name,Targets name,A-priori information,Req. experiments (list)
0,7.44,7.678958262681207,20.6,26.0,"0    0.799506
dtype: float64","0    0.84642
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,4,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],[],"[ 5.  6.  6. 26.  2.  3.  7.  3. 18. 21.  5.  1.  2. 25.  3.  1.  1.  5.
  7.  8.  1.  6. 20.  2.  2.]"
1,11.08,6.424453284132434,20.800000000000004,25.0,"0    0.719506
dtype: float64","0    0.819259
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,4,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],[],"[ 3. 11.  4. 11.  8. 25. 17. 15.  8.  8. 15. 23.  4.  5.  8.  1. 13.  8.
 11. 10. 14. 19. 22.  2. 12.]"
2,8.96,9.949793967716115,27.60000000000001,34.0,"0    0.787654
dtype: float64","0    0.859753
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,8,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],[],"[ 5.  1.  4.  5. 34.  1. 15.  6.  1. 13. 32.  8.  8.  5.  1.  6.  1.  1.
  3. 30.  5. 24.  9.  2.  4.]"
3,6.6,4.874423042781576,13.200000000000003,20.0,"0    0.808889
dtype: float64","0    0.891852
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,8,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],[],"[ 9.  8.  1.  4.  2.  3. 17.  3.  4.  1.  9.  6. 20.  3.  5.  7.  5. 14.
  1.  5. 12.  2.  7. 10.  7.]"
4,5.04,2.690427475328038,8.0,15.0,"0    0.883614
dtype: float64","0    0.990618
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,4,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 5.  3.  9.  5.  3. 15.  3.  4.  3.  5.  4.  8.  5.  4.  6.  3.  4.  6.
  3.  3.  4.  7.  3.  3.  8.]"
5,11.76,7.458042638655265,23.200000000000003,27.0,"0    0.789874
dtype: float64","0    0.861878
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,4,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 4.  4.  8. 27. 21. 14.  2. 16. 22.  3. 10.  7. 24. 14.  4. 14.  6.  3.
 17. 10. 25. 12.  6.  6. 15.]"
6,6.04,4.014772720839874,8.0,21.0,"0    0.825535
dtype: float64","0    0.964904
dtype: float64",1,Gaussian Process Regression (GPR),MLID (explore & exploit),2.0,100.0,25,8,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[ 2.  5.  8.  7.  5.  5.  6.  8. 15.  7.  4.  5.  6. 21.  4.  5.  6.  6.
  1.  2.  6.  4.  6.  3.  4.]"
7,9.68,5.001759690348988,18.200000000000003,22.0,"0    0.793292
dtype: float64","0    0.891686
dtype: float64",1,lolo Random Forrest (RF),MLID (explore & exploit),2.0,100.0,25,8,105,28,1,0.95,"['SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'Na2O', 'K2O', 'SO3', 'TiO2', 'P2O5', 'LOI', 'FA (kg/m3)', 'Coarse aggregate (kg/m3)', 'Fine aggregate (kg/m3)', 'Na2SiO3', 'NaOH', 'Total solution', 'Na2O (Dry)', 'Sio2 (Dry)', 'Concentration (M) NaOH', 'Water', 'NaOH (Dry)', 'Additional water', 'Superplasticizer', 'water -eff', 'Initial curing time (day)', 'Initial curing temp (C)', 'Initial curing rest time (day)']",['7-d Cylindrical compressive strength (MPa)'],['Mixture CO2 (Na2SiO3 as solution)'],"[11.  5.  6.  4. 13. 12. 10.  4. 17.  6.  8.  6.  9.  5. 11.  7. 19.  7.
  6. 10.  4. 13. 22.  8. 19.]"
